dialog,movie,character,_id
"Oh alright, but we don't have that much left. We have to be careful or we are going to run out. You go ahead and eat that Mr Frodo. I've rationed it, there should be enough. ",5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfd0d,5cd96e05de30eff6ebcce815
"Come Hobbitses, very close now. Very close to Mordor. No safe places here. Hurry. ",5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfe9e,5cd96e05de30eff6ebcce816
"It's good. Definitely from the Shire. ,Longbottom leaf eh? ",5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfc7c,5cd96e05de30eff6ebcce817
"uhh huh , I feel like I'm back at the Green Dragon. ",5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfe2e,5cd96e05de30eff6ebcce818
"Mmmm , Green Dragon! ",5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfc7c,5cd96e05de30eff6ebcce819
For what?,5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfc15,5cd96e05de30eff6ebcce81a
Goodnight lads.,5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfc8f,5cd96e05de30eff6ebcce81b
"Welcome, my lords to Isengard! ",5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfc7c,5cd96e05de30eff6ebcce81c
You young rascals. A merry hunt you've led us on and now we find you feasting and ' and smoking!,5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfd23,5cd96e05de30eff6ebcce81d
Hmm?,5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfe2e,5cd96e05de30eff6ebcce81e
"Only, , you've never done a hard day's work. ",5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfc7c,5cd96e05de30eff6ebcce81f
Ahaha!,5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfe2e,5cd96e05de30eff6ebcce820
" How do you pick up the threads of an old life? How do you go on, when in your heart you begin to understand there is no going back? There are some things that time cannot mend. Some hurts that go too deep, that have taken hold. ",5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfc15,5cd96e05de30eff6ebcce821
Mr Frodo? What is it?,5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfd0d,5cd96e05de30eff6ebcce822
It's been four years to the day since Weathertop Sam. It's never really healed.,5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfc15,5cd96e05de30eff6ebcce823
A mug of ale in my hand. Putting my feet up on a settle after a hard day's work.,5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfe2e,5cd96e05de30eff6ebcce824
" , There and Back Again, a Hobbits tale by Bilbo Baggins and the Lord of the Rings by Frodo Baggins. You finished it. ",5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfd0d,5cd96e05de30eff6ebcce825
Not quite. There's room for a little more.,5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfc15,5cd96e05de30eff6ebcce826
" Bilbo once told me his part in this tale would end. That each of us must come and go in the telling. Bilbo's story was now over. There would be no more journeys for him. , save one. ",5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfc15,5cd96e05de30eff6ebcce827
To the harbour Bilbo. The elves have accorded you a special honour. A place on the last ship to leave Middle Earth.,5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfc15,5cd96e05de30eff6ebcce828
Salted pork',5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfd23,5cd96e05de30eff6ebcce829
Hobbits!,5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfea0,5cd96e05de30eff6ebcce82a
We're under orders from Treebeard who's taken over management of Isengard.,5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfc7c,5cd96e05de30eff6ebcce82b
" Tell me again lad, where are we going? ",5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfc38,5cd96e05de30eff6ebcce82c
" Frodo, any chance of seeing that old Ring of mine again? The one I gave you? ",5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfc38,5cd96e05de30eff6ebcce82d
"Hoooom, young master Gandalf, I'm glad you've come. Wood and water, stock and stone I can master, but there is a Wizard to manage here locked in his tower ",5cd95395de30eff6ebccde5d,5cd9d533844dc4c55e47afed,5cd96e05de30eff6ebcce82e
" We are sitting on a field of victory enjoying a few well earned comforts , The salted pork is particularly good. ",5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfe2e,5cd96e05de30eff6ebcce82f
" , Show yourself. ",5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfbe6,5cd96e05de30eff6ebcce830
Well then let's just have his head and be done with it.,5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfd23,5cd96e05de30eff6ebcce831
"Be careful. Even in defeat, Saruman is dangerous. ",5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfea0,5cd96e05de30eff6ebcce832
"You have fought many wars and slain many men Theoden King and made peace afterwards. Can we not take counsel together as we once did, my old friend?Can we not have peace you and I? ",5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfea4,5cd96e05de30eff6ebcce833
We shall have peace'. We shall have peace when you answer for the burning of the Westfold and the children that lie dead there! We shall have peace when the lives of the soldiers whose bodies were hewn even as they lay dead against the gates of the Hornburg' are avenged! When you hang from a gibbet for the sport of your own crows' we shall have peace!,5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfe19,5cd96e05de30eff6ebcce834
Gibbets and crows! Dotard! What do you want Gandalf Grahame? Let me guess' the key of Orthanc? Or perhaps the keys of Barad D'r itself? Along with the crowns of the seven Kings and the rods of the Five Wizards!,5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfea4,5cd96e05de30eff6ebcce835
"No, we need him alive. We need him to talk. ",5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfea0,5cd96e05de30eff6ebcce836
I'm sorry uncle. I'm afraid I lost it.,5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfc15,5cd96e05de30eff6ebcce837
Your treachery has already cost many lives. Thousands more are now at risk. But you could save them Saruman. You were deep in the enemy's counsel.,5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfea0,5cd96e05de30eff6ebcce838
I Aear c'n ven na mar.,5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfcc8,5cd96e05de30eff6ebcce839
I think I'm quite ready for another adventure.,5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfc38,5cd96e05de30eff6ebcce83a
" Farewell my brave Hobbits. , My work is now finished. ,Here at last, on the shores of the sea, comes the end of our Fellowship. , I will not say do not weep for not all tears are an evil. , It is time Frodo. ",5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfea0,5cd96e05de30eff6ebcce83b
What does he mean?,5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfd0d,5cd96e05de30eff6ebcce83c
Oh! Well here is a sight I have never seen before.,5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfc38,5cd96e05de30eff6ebcce83d
The power of the three rings is ended. The time has come for the dominion of men.,5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfd06,5cd96e05de30eff6ebcce83e
" Oh, pity. (He sighs.) I would have like to have held it one last time. ",5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfc38,5cd96e05de30eff6ebcce83f
